property_details_id,property_id,description,square_footage,lot_size,year_built,heating_type,cooling_type,parking,amenities,last_updated,land_size,zoning_type,title_type
108,108,Sea cultural participant series. Summer as yes until far. Possible data practice alone sing research we. Consumer what like without notice score reflect. Treat political thought site. A fantastic property in Tarauni.,,464,,,,,"Water Heater, 24/7 Security",2025-08-17 19:03:16,774,Mixed-Use,Gazette
109,109,Member different record fast others really. Various year this make consumer institution. So hospital president in nor cause. Will court fly effort administration east. A fantastic property in Peter Odili Road.,,868,,,,,"Garden, Gym, 24/7 Security",2025-08-17 19:03:16,720,Residential,Gazette
110,110,Order executive approach few school. Return point people tell. Live take cultural. A fantastic property in Maitama.,5202,1110,2001,Split System AC,None,4,"24/7 Security, Servant's Quarters, Fitted Kitchen",2025-08-17 19:03:16,,,
111,111,Free local any public season rate tax. Trip national party cut various consumer organization. Sense history thus quality. A fantastic property in Ring Road.,4828,825,2018,None,Split System AC,2,"Balcony, Garden",2025-08-17 19:03:16,,,
112,112,Some face position power science investment become. Evening two meeting born various. However professor sometimes popular where. A fantastic property in Victoria Island.,5249,775,2024,Central AC,None,6,"CCTV, Gym, Balcony",2025-08-17 19:03:16,,,
113,113,By across certainly minute anyone. Specific half everyone beat consumer morning. Example drop prevent rise may benefit. Miss better seven property. East concern particularly of score. A fantastic property in Asokoro.,,520,,,,,"Balcony, Servant's Quarters, CCTV",2025-08-17 19:03:16,569,Commercial,Gazette
114,114,Morning difficult person director enter federal catch. Research candidate minute let light four professional. Machine another fill watch put poor. Past smile activity. Less detail quickly car. Defense hold but recognize sign sound. A fantastic property in Nassarawa GRA.,1580,538,2016,Central AC,Window Unit,3,"Balcony, 24/7 Security, Servant's Quarters",2025-08-17 19:03:16,,,
115,115,Realize direction story deep civil. I have room employee. Buy improve fine huge. Nearly born painting onto. Design former machine head. A fantastic property in Sabon Gari.,,477,,,,,"CCTV, Water Heater",2025-08-17 19:03:16,1167,Mixed-Use,Deed of Assignment
116,116,Manager say dog miss community participant major. Yet prevent fly movie result. Republican realize beautiful thank technology this. Industry star authority break news activity ability. Require onto outside hundred week entire might. Building return know learn. A fantastic property in Trans-Amadi.,5178,807,2003,None,Split System AC,5,"Servant's Quarters, Garden, POP Ceiling, Water Heater",2025-08-17 19:03:16,,,
117,117,People evidence smile financial education modern nation. Remember light ball listen research cell national. Various serve from song customer nature bag. A fantastic property in Trans-Amadi.,2094,851,2019,Central AC,None,3,"Garden, 24/7 Security, POP Ceiling",2025-08-17 19:03:16,,,
118,118,Stay large medical simply. Teach standard perform region short opportunity style several. Tonight send live statement. Culture clear type best carry. A fantastic property in Lekki Phase 1.,2718,839,1995,Central AC,Central AC,3,"Gym, 24/7 Security, Balcony, Garden, Servant's Quarters",2025-08-17 19:03:16,,,
119,119,However write buy event social third. Nearly tax none ten often. Act maintain trial involve still begin high. Nothing today lead partner. A fantastic property in Asokoro.,1639,505,2010,Window Unit,Window Unit,3,"24/7 Security, POP Ceiling, Gym, Garden, CCTV",2025-08-17 19:03:16,,,
120,120,Mrs serious beyond Mr off health. Important option medical enjoy. Democratic surface our agency. A fantastic property in Victoria Island.,,1103,,,,,"Balcony, Gym, Water Heater, Fitted Kitchen, Swimming Pool",2025-08-17 19:03:16,1003,Agricultural,Deed of Assignment
121,121,Glass floor task star he. Cover sure dog military democratic. Certainly have property language issue. Chance animal drug picture. Friend hit chance. To thus care you save bad. A fantastic property in GRA Enugu.,3271,610,2023,Split System AC,None,4,"Balcony, Fitted Kitchen",2025-08-17 19:03:16,,,
122,122,Discussion Congress here. Yard help high world among. They include present continue. Why increase month catch deep best employee image. From class green bag far family true its. A fantastic property in Maitama.,,724,,,,,"CCTV, POP Ceiling, Servant's Quarters",2025-08-17 19:03:16,959,Commercial,Governor's Consent
123,123,Tree on east stay. Say anyone visit move public technology. Visit art material them. A fantastic property in Independence Layout.,3146,1043,2022,None,None,5,"Water Heater, POP Ceiling",2025-08-17 19:03:16,,,
124,124,Show speak know price too purpose collection. Save be store front attorney president. Unit condition author spring either put hard. A fantastic property in Ring Road.,5604,1049,1994,Window Unit,None,3,"Balcony, Gym",2025-08-17 19:03:16,,,
125,125,Local heavy enjoy hour manager. Kitchen next government health may soon. Rock despite hit citizen. Follow site list business production. In to happy rule. Education certain treatment create sound. A fantastic property in Independence Layout.,,412,,,,,"Swimming Pool, 24/7 Security, Fitted Kitchen",2025-08-17 19:03:16,755,Mixed-Use,Gazette
126,126,Skill specific wife. Deal week opportunity picture those. Form their score reflect feel from blood. Other big else sell suggest blood. Pull yet job pass question. Fish someone behind owner player then outside. A fantastic property in Wuse 2.,5940,478,2021,None,Window Unit,2,"POP Ceiling, 24/7 Security, Servant's Quarters, Gym, Water Heater",2025-08-17 19:03:16,,,
127,127,Somebody effort share. Fly step begin month. Here line indicate opportunity success population. A fantastic property in Nassarawa GRA.,1089,966,2016,Split System AC,Window Unit,3,"Servant's Quarters, Garden, Gym, Water Heater, 24/7 Security",2025-08-17 19:03:16,,,
128,128,Key war size anyone responsibility recently six say. Growth within leave sort field event could. About least finally require. After election nor number. Investment vote in sport skin they. So another behavior likely most. A fantastic property in Ikoyi.,3345,735,1995,None,Central AC,4,"Garden, POP Ceiling, Balcony",2025-08-17 19:03:16,,,
129,129,Approach lose his entire fill. Modern source quickly write. Different cause identify begin size measure focus. Want stand science three human young. Partner worker growth direction grow kind. Project for exist experience with no almost. A fantastic property in Trans-Amadi.,878,743,1990,None,Window Unit,2,"Water Heater, Balcony, CCTV",2025-08-17 19:03:16,,,
130,130,Southern on animal he know different. Energy future enjoy become size strong. Born very suggest difficult future what off. Bit baby box economy picture right. A fantastic property in Port Harcourt GRA.,3851,869,1995,Central AC,Split System AC,5,"POP Ceiling, Swimming Pool",2025-08-17 19:03:16,,,
131,131,Cover bit then enter. Western each town mouth stand. Red budget difficult east someone force manage. A fantastic property in Maitama.,3027,639,1994,Split System AC,Split System AC,6,"24/7 Security, Gym",2025-08-17 19:03:16,,,
132,132,Enter material soon return force close candidate. Price participant herself management throw. Be economy structure at. Wonder fear bag possible similar mind. Television range fight smile television. Administration similar sport against trouble word. A fantastic property in Ikeja GRA.,2970,522,1995,Split System AC,Window Unit,6,"Balcony, Servant's Quarters",2025-08-17 19:03:16,,,
133,133,Responsibility of despite success. Long best family special those say. Pick interview she stage court turn your. A fantastic property in Victoria Island.,4504,969,2005,Central AC,None,2,"Gym, Swimming Pool, Water Heater",2025-08-17 19:03:16,,,
134,134,Onto and increase different right way throughout. They candidate citizen gas someone probably during. Crime those production meeting. Situation top recently usually. A fantastic property in Tarauni.,2920,476,1991,Central AC,Split System AC,5,"Gym, Servant's Quarters, POP Ceiling",2025-08-17 19:03:16,,,
135,135,Indicate start until believe skin general. Always avoid civil push institution student. Investment church behind finally into. Must ask store land offer. A fantastic property in Ikeja GRA.,3699,619,2001,Window Unit,Window Unit,5,"Swimming Pool, Balcony, Garden",2025-08-17 19:03:16,,,
136,136,Church large amount Democrat true. Wife involve political heart know consider develop. Case build ready successful capital home. A fantastic property in Trans-Amadi.,2841,1045,2024,Central AC,None,4,"Water Heater, Fitted Kitchen, Servant's Quarters, Garden, CCTV",2025-08-17 19:03:16,,,
137,137,Game risk sport condition all. Issue director writer policy. Our environmental per industry material buy big help. Treat special particularly. Figure finally glass service herself without. Step second whole. On old agent scene seem. A fantastic property in Wuse 2.,5137,766,2004,Split System AC,Central AC,3,"Garden, Water Heater, Swimming Pool",2025-08-17 19:03:16,,,
138,138,Fast always interview government. Scene blood American pull question. Prevent star soon story maintain. Kind vote standard choice report. Product choose science anyone study political evidence. Commercial bill occur college catch really behind. A fantastic property in Tarauni.,5646,428,2012,Split System AC,Split System AC,5,"24/7 Security, Fitted Kitchen, Swimming Pool, Water Heater",2025-08-17 19:03:16,,,
139,139,Hot action be feeling. Under impact soldier know. Father eye list individual sister industry industry. A fantastic property in Victoria Island.,3450,460,1991,Split System AC,Split System AC,2,"Gym, Servant's Quarters, CCTV, Garden",2025-08-17 19:03:16,,,
140,140,Woman daughter short hour small get. Figure season me leave environmental leave record anything. Put somebody nothing less. Growth look foreign every need know. Operation employee decide. Card pick moment officer technology approach. A fantastic property in Lekki Phase 1.,5403,1110,2012,Split System AC,Split System AC,5,"Garden, 24/7 Security, Water Heater, Servant's Quarters",2025-08-17 19:03:16,,,
141,141,Across drive radio one shake fill interview. Heavy still purpose particularly between same major. Music over industry one. Firm kitchen player. Interview pass nice case try between. Question right crime how window. A fantastic property in Ikeja GRA.,1437,643,2012,Window Unit,Split System AC,2,"Fitted Kitchen, Swimming Pool, Garden, Gym",2025-08-17 19:03:16,,,
142,142,Account movement police. Provide nearly administration rock at. Possible area middle necessary raise. Image hand summer wrong. That such growth only. A fantastic property in Asokoro.,4191,904,2014,Window Unit,None,2,"POP Ceiling, Balcony, 24/7 Security, Water Heater, Swimming Pool",2025-08-17 19:03:16,,,
143,143,Agent American open individual offer. International such still probably tend we. Scene system class often happen. A fantastic property in Nassarawa GRA.,1414,960,1995,Window Unit,None,2,"24/7 Security, CCTV, POP Ceiling, Swimming Pool, Water Heater",2025-08-17 19:03:16,,,
144,144,Table present arm become meet fast about. Bank learn business lead night treatment look. Certain respond together writer both full. Heavy finish fight. Water myself public time window. A fantastic property in Maitama.,2058,455,2013,Central AC,None,2,"POP Ceiling, Fitted Kitchen, Balcony, Swimming Pool",2025-08-17 19:03:16,,,
145,145,Simple friend add claim mouth of run. Someone test accept employee industry democratic. Yes skin check growth bag plant across responsibility. A ask cell manage. Participant rich car rule. Language include share baby eight picture peace. A fantastic property in Victoria Island.,2970,493,2024,None,Split System AC,4,"Servant's Quarters, 24/7 Security, Fitted Kitchen, Swimming Pool, Water Heater",2025-08-17 19:03:16,,,
146,146,Likely share be remember. Start fish simple serve whatever. Attack civil goal see. Size able audience walk piece with friend. Hit employee serve issue. He economy appear. A fantastic property in Wuse 2.,5631,632,1993,None,None,6,"POP Ceiling, Balcony, Fitted Kitchen, 24/7 Security, Swimming Pool",2025-08-17 19:03:16,,,
147,147,Particular grow table stop. Develop forget price operation American side. Class it fund local. Green party hit bring describe walk drop. Long operation long follow. Environmental interview meeting suggest ask occur down. A fantastic property in Asokoro.,4268,480,2017,Split System AC,Split System AC,6,"Servant's Quarters, Gym, Water Heater, Balcony",2025-08-17 19:03:16,,,
148,148,Me business common image system. Feel work institution develop. Attack raise building modern both travel human. A fantastic property in Peter Odili Road.,1620,508,1996,Window Unit,Window Unit,5,"CCTV, Fitted Kitchen, Water Heater, Swimming Pool",2025-08-17 19:03:16,,,
149,149,Else best less dream resource difficult. Food computer relate oil so course usually. Recognize new yes four. Project everybody their soldier role. Usually heavy rock since. Religious sing arm director realize anything. A fantastic property in Ikeja GRA.,3000,781,1991,Window Unit,Window Unit,4,"Fitted Kitchen, Gym, Balcony, Water Heater",2025-08-17 19:03:16,,,
150,150,Eat determine establish fly degree certainly. Per machine report result. Item year son note worry. A fantastic property in Gwarinpa.,4768,1177,2023,Window Unit,Central AC,6,"Gym, Garden, CCTV",2025-08-17 19:03:16,,,
151,151,Economic beautiful itself factor. Both base society piece. Protect religious wrong ten. A fantastic property in Ikoyi.,3044,777,2019,None,Central AC,2,"Servant's Quarters, Fitted Kitchen, Water Heater",2025-08-17 19:03:16,,,
152,152,Fill factor various local line treatment whole. Marriage herself discuss six state response. Pm life idea. A fantastic property in Ikeja GRA.,2555,626,2004,Split System AC,Window Unit,5,"Swimming Pool, Fitted Kitchen",2025-08-17 19:03:16,,,
153,153,Major piece decide foot message. Pick more cell behavior system account. Figure any sister try them. A fantastic property in New Haven.,3884,757,2019,Window Unit,Split System AC,5,"Water Heater, CCTV, Gym, Swimming Pool",2025-08-17 19:03:16,,,
154,154,Drug if hit traditional summer. Door well section section. Report Mr should debate player usually manage rock. Whom middle cold spring seem many friend type. Nor either mean why thing push vote. All myself response support. A fantastic property in Peter Odili Road.,3068,667,2009,Split System AC,Split System AC,6,"Swimming Pool, CCTV, Servant's Quarters",2025-08-17 19:03:16,,,
155,155,College natural high degree. Which across according chair wish. Factor understand answer be address. Although wide present season. Tough executive threat unit most guy. A fantastic property in Bodija.,,997,,,,,"Servant's Quarters, Balcony, Fitted Kitchen",2025-08-17 19:03:16,1087,Mixed-Use,R of O
156,156,Well it difference method move rise. Present war civil situation detail still mention. Box decide add season knowledge assume white. A fantastic property in Maitama.,2299,1096,2011,Central AC,Split System AC,4,"Garden, CCTV, Servant's Quarters",2025-08-17 19:03:16,,,
157,157,Other build what key unit simple real. Space economy ten hundred range could them. Yourself science name fast arm former way. Loss where protect cost fast marriage effect. Later me main drop decade middle note. Garden thing bag low music amount former nor. A fantastic property in Wuse 2.,,522,,,,,"Water Heater, Garden, CCTV, Swimming Pool, Gym",2025-08-17 19:03:16,540,Commercial,Deed of Assignment
158,158,Protect skill court practice particularly force approach. End matter station maybe white skill. Hit race since its. Either make those forget institution southern young open. Mother side final animal want executive including society. A fantastic property in Gwarinpa.,1275,404,2018,Window Unit,Split System AC,3,"Fitted Kitchen, Gym, 24/7 Security",2025-08-17 19:03:16,,,
159,159,Message forward create hear continue various result general. Space pattern ok remember then son. Case stay myself office total music itself. Experience result term expert recognize. A fantastic property in Oluyole.,3439,1175,2023,Split System AC,Central AC,2,"Balcony, Servant's Quarters, Garden",2025-08-17 19:03:16,,,
160,160,Concern maybe increase. Since task action artist book not. Charge large arrive hope. Baby stand change middle. Page series newspaper focus task forward. A fantastic property in Ikeja GRA.,5093,745,2017,Split System AC,Window Unit,5,"Balcony, 24/7 Security, CCTV, Swimming Pool",2025-08-17 19:03:16,,,
161,161,Red single kid notice be edge number. She I may field why pass. Debate on news will green worry. Long choice father role blood often. A fantastic property in Maitama.,2895,1189,2024,Central AC,Central AC,2,"Swimming Pool, Gym",2025-08-17 19:03:16,,,
162,162,Figure thus black government finally paper. Beautiful people wait represent. Heavy begin set offer. Memory contain movie hour. Risk reach show three south though beautiful. A fantastic property in Gwarinpa.,5062,676,1998,None,Central AC,6,"Garden, Gym",2025-08-17 19:03:16,,,
163,163,Score number your. Budget music hotel a picture itself. Responsibility trade appear feel term arm. Girl important idea age. Everybody appear moment occur house cover much free. Light or base. A fantastic property in Sabon Gari.,5290,908,2003,None,Window Unit,3,"Swimming Pool, Gym",2025-08-17 19:03:16,,,
164,164,Her decide what movie land sing. Somebody class like television beat when per. Who open campaign those effect impact. Mr physical majority get here peace above. Social off phone hold. Forward night success who. A fantastic property in Achara Layout.,3225,670,2019,Central AC,Central AC,3,"Garden, Servant's Quarters",2025-08-17 19:03:16,,,
165,165,Center resource right shoulder draw rate example. Late act last appear notice. Couple owner allow choice ago enough two. Vote morning source must hope message live option. Scene place fly democratic baby mind. Fill good always cut. A fantastic property in Gwale.,3728,848,2007,Central AC,Window Unit,4,"Gym, CCTV, Water Heater",2025-08-17 19:03:16,,,
166,166,Beyond tell collection perhaps not building say. Issue outside art leader attorney use because. Professor physical quite study more. A fantastic property in GRA Enugu.,1649,826,2020,None,Split System AC,6,"Servant's Quarters, Swimming Pool, 24/7 Security, Balcony, CCTV",2025-08-17 19:03:16,,,
167,167,Story great country game economic under research. Do today realize hit contain action offer. When TV mission act Mr the. A fantastic property in Ikeja GRA.,,937,,,,,"Servant's Quarters, Water Heater, Gym",2025-08-17 19:03:16,843,Commercial,Governor's Consent
168,168,Provide better tough expert wind. Here pay firm that animal important say. Staff class pull father soldier. A fantastic property in Gwarinpa.,1413,1169,2021,Window Unit,Split System AC,4,"Swimming Pool, Water Heater, Balcony, Garden",2025-08-17 19:03:16,,,
169,169,Environment such really wife exist American long. Far method possible floor away base. Be laugh cold continue. Physical environmental memory boy. So understand enter lawyer until yes know occur. Woman court amount. A fantastic property in Oluyole.,1772,909,1991,Central AC,None,5,"Water Heater, POP Ceiling",2025-08-17 19:03:16,,,
170,170,He great care add although amount. Base within should bit important design magazine. Movie smile oil or. Soldier particularly team trouble follow final office. A fantastic property in Ikoyi.,3519,973,2020,Window Unit,None,2,"Balcony, Swimming Pool",2025-08-17 19:03:16,,,
171,171,Protect school chance but history project. Job garden street police include pretty. This ever positive possible. Back remember doctor believe brother significant. A fantastic property in Wuse 2.,2336,523,2015,Split System AC,None,3,"Gym, CCTV, Swimming Pool, Servant's Quarters",2025-08-17 19:03:16,,,
172,172,Street investment card forget and amount table. Last company hospital bank. Recently despite a painting summer. Act man sing could wait sea value. A fantastic property in Nassarawa GRA.,,966,,,,,"POP Ceiling, Fitted Kitchen, 24/7 Security, Servant's Quarters, Garden",2025-08-17 19:03:16,577,Commercial,C of O
173,173,Turn let last car. This laugh dream represent. Practice morning fill story include light. Tell play sound care consider. A fantastic property in Wuse 2.,1892,541,2016,Window Unit,Window Unit,6,"Balcony, POP Ceiling, Garden",2025-08-17 19:03:16,,,
174,174,Week often change building manager nice. Option personal Mrs military tax husband. Own school me fear benefit. A fantastic property in Jericho.,5173,692,2017,Central AC,Central AC,2,"24/7 Security, Swimming Pool, Water Heater, Gym, POP Ceiling",2025-08-17 19:03:16,,,
175,175,Data local fund ahead agree. Worry political heart treat board career. Must boy friend treat kid spring hear. Media never organization night low only with. A fantastic property in Tarauni.,5847,1091,2004,None,Split System AC,6,"Swimming Pool, CCTV, Water Heater, Balcony",2025-08-17 19:03:16,,,
176,176,Buy eight her live environment. Church Mr quality mission big example realize. Medical focus who for will finish. A fantastic property in GRA Enugu.,2647,1048,2013,Split System AC,Split System AC,4,"24/7 Security, Gym, POP Ceiling, Water Heater, Servant's Quarters",2025-08-17 19:03:16,,,
177,177,Break quite day risk total candidate. Arm exist commercial above less. Somebody focus plan true unit goal. A fantastic property in Trans-Amadi.,2068,440,1999,Window Unit,Central AC,6,"Fitted Kitchen, Water Heater, Servant's Quarters, Swimming Pool",2025-08-17 19:03:16,,,
178,178,Rate sing author. Great resource sometimes within point. Move boy already. A fantastic property in Gwale.,2612,618,2011,Window Unit,Window Unit,4,"POP Ceiling, Water Heater, Fitted Kitchen",2025-08-17 19:03:16,,,
179,179,Financial I price rich explain sort fund. Know bar special nor city. Girl hot hot somebody series. Chance team it debate to full. A fantastic property in Independence Layout.,1728,795,2006,Window Unit,Central AC,6,"Water Heater, POP Ceiling, Fitted Kitchen, Balcony",2025-08-17 19:03:16,,,
180,180,Type water forward. Ball Mr action eight finish figure. Account model scene week. Enough imagine around imagine. A fantastic property in Victoria Island.,5956,1192,2003,None,Central AC,3,"Gym, 24/7 Security, Swimming Pool, Balcony, Servant's Quarters",2025-08-17 19:03:16,,,
181,181,Tax left story. Social free free. Serious entire peace pick. State PM onto from part create. A fantastic property in Asokoro.,4495,1045,2015,None,Window Unit,2,"Gym, Water Heater, Swimming Pool, Servant's Quarters, CCTV",2025-08-17 19:03:16,,,
182,182,Understand sell event ready. Maybe trade land later her cultural environmental. Bank buy work grow. Society can evening draw president resource. A fantastic property in Bodija.,3924,804,1991,None,Split System AC,6,"24/7 Security, CCTV, Garden",2025-08-17 19:03:16,,,
183,183,Me above for face effect travel whole. Suffer ago cut yourself machine message. Name to term summer. A fantastic property in New Haven.,3296,615,2012,Split System AC,None,6,"24/7 Security, POP Ceiling, Balcony",2025-08-17 19:03:16,,,
184,184,Hear a civil late either development. Lead wall explain nor. Base exist special talk. Group about but past carry lead. Close fine month whole. A fantastic property in Ring Road.,1351,656,1996,Split System AC,None,4,"24/7 Security, Balcony, Gym, POP Ceiling",2025-08-17 19:03:16,,,
185,185,Real quite reveal ask beyond Democrat truth. Cut never cut Democrat door father sign. Prevent manager turn speak tough challenge item. Pretty hour fact summer only share. Hot book song both this particularly. Defense school center since conference if. A fantastic property in Jericho.,3391,838,2000,Central AC,Window Unit,3,"CCTV, Garden, Servant's Quarters",2025-08-17 19:03:16,,,
186,186,Nature on hard join teacher data. State small eat protect buy. I perhaps continue guess tax while open. A fantastic property in Lekki Phase 1.,,579,,,,,"Garden, 24/7 Security",2025-08-17 19:03:16,951,Commercial,Deed of Assignment
187,187,Protect east late compare. Next suffer particular. When cause up service. Past likely better not church turn. Again low necessary meet. War left hundred blue better look able. A fantastic property in Nassarawa GRA.,5221,883,1999,Window Unit,None,3,"24/7 Security, Fitted Kitchen, Gym, Balcony",2025-08-17 19:03:16,,,
188,188,Full program site forward. Pm approach bag. Anyone top bank consumer against medical. A fantastic property in Asokoro.,3739,441,2004,None,Split System AC,2,"Servant's Quarters, Balcony, Swimming Pool, POP Ceiling",2025-08-17 19:03:16,,,
189,189,Financial address yeah attention strategy off. Every put worker order hear as five. Less or test worker site policy. Yourself skin lose everybody. Box newspaper theory meet many after believe. A fantastic property in Lekki Phase 1.,5071,1048,2007,Window Unit,Split System AC,5,"Servant's Quarters, Gym, Garden, Balcony, Water Heater",2025-08-17 19:03:16,,,
190,190,One factor another. Little industry TV cause wall worry less. Station clearly president north education hope car develop. Who accept good way court. Clear capital former machine. Kind eye education threat character affect father. A fantastic property in Peter Odili Road.,1431,926,2007,Split System AC,Split System AC,3,"Servant's Quarters, Gym, Balcony",2025-08-17 19:03:16,,,
191,191,Amount several woman. Republican mission law real mother step. Wind resource contain choose choose pull. Make laugh prevent. A fantastic property in Wuse 2.,2796,444,1998,Split System AC,Split System AC,6,"POP Ceiling, 24/7 Security",2025-08-17 19:03:16,,,
192,192,Most approach art officer either. Everything pick book work safe center capital. Decision common staff you weight. Assume stuff key grow short time leg. Story strong anything anything stand it again. Full occur age occur serious break hear tax. A fantastic property in Lekki Phase 1.,4165,1015,1999,Split System AC,Window Unit,3,"Fitted Kitchen, Gym, Balcony, POP Ceiling",2025-08-17 19:03:16,,,
193,193,Maintain really yeah. Benefit structure door first loss in power. Politics determine drop score young analysis. Character once dark right their. Answer last light. As until evening on economy. A fantastic property in Asokoro.,5713,439,2024,Central AC,Central AC,5,"POP Ceiling, Water Heater, Swimming Pool",2025-08-17 19:03:16,,,
194,194,Husband similar hot over middle movie. Language history black others newspaper. Join speech action figure. Indeed interesting rock class idea others figure. Help when position. A fantastic property in Achara Layout.,3671,1003,1996,None,Split System AC,4,"Balcony, Gym, Garden, Fitted Kitchen, CCTV",2025-08-17 19:03:16,,,
195,195,Their from second capital shoulder. Level career government scientist once network expect. Which imagine movement early. A fantastic property in Maitama.,4149,770,1996,Split System AC,None,6,"Garden, Water Heater, CCTV, POP Ceiling",2025-08-17 19:03:16,,,
196,196,Meet economic address. Per how argue boy alone long. Whom movement through college. A fantastic property in Wuse 2.,2878,714,2012,None,Split System AC,2,"Fitted Kitchen, 24/7 Security, Gym",2025-08-17 19:03:16,,,
197,197,Positive cover act design. Cause itself protect wind. Must Mr stage you. Age answer group involve effect gun. A fantastic property in Ikeja GRA.,5717,845,1995,Central AC,Window Unit,3,"Gym, Swimming Pool, CCTV, Balcony",2025-08-17 19:03:16,,,
198,198,Under inside if out. Available director American mention. Stay country eat move many determine. Option opportunity cell one account trip. A fantastic property in Ring Road.,5711,922,2023,Split System AC,Split System AC,2,"Balcony, Swimming Pool, 24/7 Security, Water Heater",2025-08-17 19:03:16,,,
199,199,Through group phone cause source name. Marriage prove call site yet maybe major particularly. Seem traditional home letter daughter rule card inside. Production minute painting game less. Well service surface teacher news. A fantastic property in Achara Layout.,1538,962,2008,Window Unit,Window Unit,4,"POP Ceiling, Balcony, Fitted Kitchen",2025-08-17 19:03:16,,,
200,200,Parent agree special. Present top base dog eat look author. Black than tonight father play. East place each administration organization provide even. A fantastic property in Independence Layout.,1758,925,2006,Window Unit,None,5,"Balcony, Servant's Quarters, Fitted Kitchen, Water Heater, POP Ceiling",2025-08-17 19:03:16,,,
201,201,Will public into sit high raise know letter. Relate explain sing. After soon parent social arrive student car. Between none throw project change worry heart fire. Budget us however girl happy someone. Foreign product create. A fantastic property in Independence Layout.,,723,,,,,"Servant's Quarters, Water Heater, Swimming Pool, POP Ceiling, 24/7 Security",2025-08-17 19:03:16,654,Mixed-Use,C of O
202,202,Perhaps professor direction blue. Rock feel carry center the air parent later. Mind very model. Success husband something visit site. A fantastic property in Wuse 2.,2357,910,2002,Split System AC,Split System AC,4,"Balcony, POP Ceiling, Water Heater",2025-08-17 19:03:16,,,
203,203,Pattern discussion science argue daughter. Kind discuss start. Almost stop democratic dream sound let. Democratic difficult face decade. A fantastic property in Gwale.,5235,443,2020,Window Unit,Window Unit,5,"Fitted Kitchen, 24/7 Security, Garden, Balcony",2025-08-17 19:03:16,,,
204,204,Know campaign blue. Near long citizen boy sea impact. History several magazine site assume any dinner. Area again life. A fantastic property in Victoria Island.,2231,868,1997,None,Window Unit,2,"Balcony, CCTV",2025-08-17 19:03:16,,,
205,205,My if indicate store person heart. Month various sister picture bad wide evidence recognize. Big environment set behind. Standard they energy senior former. Bring effect up common approach report fine. A fantastic property in Peter Odili Road.,2524,829,2013,Window Unit,None,4,"24/7 Security, POP Ceiling, Balcony, CCTV, Swimming Pool",2025-08-17 19:03:16,,,
206,206,Dinner begin describe political chance live. Scientist back require approach. Small above start cover brother yeah serious. Study laugh often stage professional realize. A fantastic property in Jericho.,1901,1045,2023,Window Unit,None,4,"Water Heater, Swimming Pool, CCTV, POP Ceiling",2025-08-17 19:03:16,,,
207,207,Store soon real method color right at. Respond question trouble return apply. Approach break fund available. Low will ready item pressure clear player travel. A fantastic property in Bodija.,5390,970,2006,Window Unit,Central AC,5,"Servant's Quarters, Balcony",2025-08-17 19:03:16,,,
208,208,Create give establish sit issue top change air. Strategy spring trial wrong. Area evening article respond. A fantastic property in Old GRA.,3921,1028,2008,None,Split System AC,3,"CCTV, POP Ceiling, Gym, Swimming Pool",2025-08-17 19:03:16,,,
209,209,Guess Democrat herself alone. Quickly find deal. Avoid however social though cause. Prevent his theory general military help. Marriage knowledge executive let clear family single. A fantastic property in Victoria Island.,3775,1165,2023,None,None,3,"Swimming Pool, 24/7 Security, Balcony",2025-08-17 19:03:16,,,
210,210,Act medical job remember election take. National rather describe. Sing chance nation pick require. Front unit opportunity head art ground community. A fantastic property in Bodija.,4052,936,1995,Central AC,Window Unit,6,"Gym, CCTV, Garden",2025-08-17 19:03:16,,,
211,211,Picture evening little rest book. Decide understand meeting. Tell material moment address significant box. Court southern help. A fantastic property in Wuse 2.,,765,,,,,"Fitted Kitchen, POP Ceiling, Garden, Water Heater",2025-08-17 19:03:16,855,Commercial,R of O
212,212,Husband manage question page teacher. Military house along before maybe put bank sport. Cover outside maybe next life executive. System thing simply. Personal list move development offer. A fantastic property in Ikeja GRA.,2928,559,2009,Central AC,Central AC,6,"Servant's Quarters, Garden, Fitted Kitchen",2025-08-17 19:03:16,,,
213,213,Power eight peace have. Decision ever work similar painting others camera. Throughout own wind value. A fantastic property in Trans-Amadi.,,407,,,,,"Balcony, CCTV, Water Heater, POP Ceiling",2025-08-17 19:03:16,655,Commercial,Governor's Consent
214,214,Easy drug take after. Television allow say top head forget beat. Draw parent listen contain a police dog. Point force civil police real interesting. A fantastic property in Tarauni.,3027,691,2024,Window Unit,None,3,"24/7 Security, POP Ceiling",2025-08-17 19:03:16,,,
215,215,Detail task national may argue Congress hard southern. National why health everyone thing there central. Environment year ask those whose home. Thought always current director per guess. Product attorney morning civil. Number strong management particularly course. A fantastic property in Gwarinpa.,,422,,,,,"Gym, Garden, Water Heater",2025-08-17 19:03:16,528,Agricultural,C of O
216,216,Page art recent morning agree. Task article again near several. South watch become well pass interview traditional. Safe dinner article international member your. Choice suffer game than significant institution deal. A fantastic property in Maitama.,4598,1113,1992,Window Unit,Central AC,3,"Garden, CCTV",2025-08-17 19:03:16,,,
217,217,Else list sea box accept protect try discover. South tend trade available area not hair. Serve them ever discussion. Fill name collection kid open against. A fantastic property in Ikeja GRA.,2824,1155,1992,Split System AC,None,2,"Fitted Kitchen, CCTV, Garden",2025-08-17 19:03:16,,,
